803,781,28,1635.26,0
843,627,16,804.18,0
584,81,17,866.95,0
796,430,41,2753.38,0
776,92,48,2717.23,0
200,44,21,1391.21,0
335,503,36,2510.72,0
145,296,19,84.82,0
859,913,26,1080.92,0
399,701,13,961.48,0
866,906,45,2199.66,0
793,750,50,3651.98,0
802,914,34,1138.01,0
161,177,24,539.87,0
102,14,23,1721.43,0
723,870,28,1421.30,0
762,261,21,1622.65,0
3,941,27,64.80,0
615,209,11,558.27,0
150,426,13,1029.78,0
78,38,18,1692.03,0
621,699,19,602.84,0
152,613,49,4516.12,0
994,689,1,96.24,0
920,660,22,1125.78,0
635,365,19,1589.59,0
127,387,4,309.21,0
916,963,7,276.03,0
698,61,22,1299.23,0
233,144,30,2159.85,0
101,271,22,369.82,0
839,800,4,261.42,0
59,331,21,1481.75,0
537,504,33,1320.08,0
576,209,15,761.28,0
566,127,29,392.45,0
384,558,31,1473.52,0
636,373,38,3341.79,0
274,81,10,509.97,0
214,352,47,2782.15,0
373,768,11,431.88,0
242,836,17,464.57,0
523,646,32,513.78,0
203,157,43,1259.39,0
178,658,50,3623.87,0
887,600,18,889.72,0
54,619,37,2457.37,0
817,475,33,270.49,0
880,1,14,279.63,0
670,248,24,1495.62,0
131,177,8,179.96,0
344,322,47,823.28,0
220,949,46,4008.98,0
600,3,37,3028.94,0
604,684,31,1034.21,0
229,863,35,1041.54,0
584,413,29,1381.35,0
321,69,32,919.72,0
946,488,48,3456.59,0
615,169,16,1363.96,0
42,965,49,4703.72,0
116,874,28,1331.85,0
212,941,40,95.99,0
69,986,22,1137.84,0
307,575,37,3412.48,0
354,10,1,48.96,0
164,658,18,1304.59,0
704,227,27,1975.60,0
907,66,25,168.10,0
871,597,34,920.45,0
993,909,36,410.56,0
171,549,12,563.71,0
388,989,16,1220.49,0
645,852,16,98.51,0
310,103,13,270.12,0
846,222,48,670.85,0
577,616,10,583.50,0
106,766,7,68.11,0
325,878,38,2158.23,0
653,993,27,2167.28,0
317,215,36,2565.38,0
945,411,31,943.92,0
334,475,25,204.92,0
880,831,45,2333.01,0
985,797,40,2574.22,0
304,371,9,500.17,0
698,341,14,1353.02,0
136,883,10,482.59,0
729,702,19,1178.90,0
579,513,32,2277.09,0
647,861,48,2310.72,0
423,566,41,2862.45,0
932,897,1,79.99,0
811,181,17,783.97,0
343,869,42,3899.50,0
914,282,34,1217.66,0
340,15,18,924.64,0
671,511,34,3117.00,0
212,209,38,1928.57,0
34,409,4,326.15,0
821,968,18,640.23,0
133,65,36,41.65,0
345,968,8,284.54,0
515,495,44,4194.84,0
238,168,4,395.35,0
145,200,19,1610.46,0
30,640,19,1527.19,0
551,639,48,1740.00,0
986,22,34,2836.52,0
290,492,25,590.27,0
582,676,24,594.19,0
322,826,44,2050.11,0
908,19,9,896.68,0
265,788,39,2152.27,0
459,461,1,51.02,0
715,875,3,18.31,0
242,402,50,3868.78,0
